usia (tahun),meal_time,jenis_kelamin,air (ml),energi (kal),protein,lemak_total,karbohidrat,serat,kalsium,fosfor,zat_besi,natrium,kalium,tembaga,seng,vit_c
11,lunch,L,222,240000,6000.0,7800.000000000001,36000.0,3360.0000000000005,144.0,150.0,0.96,156.0,468,0.084,0.96,6.0
11,lunch,P,222,228000,6600.000000000001,7800.000000000001,33600.0,3240.0,144.0,150.0,0.96,168.0,528,0.084,0.96,6.0
12,lunch,L,222,240000,6000.0,7800.000000000001,36000.0,3360.0000000000005,144.0,150.0,0.96,156.0,468,0.084,0.96,6.0
12,lunch,P,222,228000,6600.000000000001,7800.000000000001,33600.0,3240.0,144.0,150.0,0.96,168.0,528,0.084,0.96,6.0
0,dinner,L,270,240000,4500.0,10500.0,31500.0,3300.0,81.0,82.5,3.3,111.0,210,0.066,0.8999999999999999,15.0
0,dinner,P,270,240000,4500.0,10500.0,31500.0,3300.0,81.0,82.5,3.3,111.0,210,0.066,0.8999999999999999,15.0
1,dinner,L,345,405000,6000.0,13500.0,64500.0,5700.0,195.0,138.0,2.1,240.0,780,0.10200000000000001,0.8999999999999999,12.0
1,dinner,P,345,405000,6000.0,13500.0,64500.0,5700.0,195.0,138.0,2.1,240.0,780,0.10200000000000001,0.8999999999999999,12.0
2,dinner,L,345,405000,6000.0,13500.0,64500.0,5700.0,195.0,138.0,2.1,240.0,780,0.10200000000000001,0.8999999999999999,12.0
2,dinner,P,345,405000,6000.0,13500.0,64500.0,5700.0,195.0,138.0,2.1,240.0,780,0.10200000000000001,0.8999999999999999,12.0
3,dinner,L,345,405000,6000.0,13500.0,64500.0,5700.0,195.0,138.0,2.1,240.0,780,0.10200000000000001,0.8999999999999999,12.0
3,dinner,P,345,405000,6000.0,13500.0,64500.0,5700.0,195.0,138.0,2.1,240.0,780,0.10200000000000001,0.8999999999999999,12.0
4,dinner,L,435,420000,7500.0,15000.0,66000.0,6000.0,300.0,150.0,3.0,270.0,810,0.132,1.5,13.5
4,dinner,P,435,420000,7500.0,15000.0,66000.0,6000.0,300.0,150.0,3.0,270.0,810,0.132,1.5,13.5
5,dinner,L,435,420000,7500.0,15000.0,66000.0,6000.0,300.0,150.0,3.0,270.0,810,0.132,1.5,13.5
5,dinner,P,435,420000,7500.0,15000.0,66000.0,6000.0,300.0,150.0,3.0,270.0,810,0.132,1.5,13.5
6,dinner,L,435,420000,7500.0,15000.0,66000.0,6000.0,300.0,150.0,3.0,270.0,810,0.132,1.5,13.5
6,dinner,P,435,420000,7500.0,15000.0,66000.0,6000.0,300.0,150.0,3.0,270.0,810,0.132,1.5,13.5
7,dinner,L,495,495000,12000.0,16500.0,75000.0,6899.999999999999,300.0,150.0,3.0,300.0,960,0.17099999999999999,1.5,13.5
7,dinner,P,495,495000,12000.0,16500.0,75000.0,6899.999999999999,300.0,150.0,3.0,300.0,960,0.17099999999999999,1.5,13.5
8,dinner,L,495,495000,12000.0,16500.0,75000.0,6899.999999999999,300.0,150.0,3.0,300.0,960,0.17099999999999999,1.5,13.5
8,dinner,P,495,495000,12000.0,16500.0,75000.0,6899.999999999999,300.0,150.0,3.0,300.0,960,0.17099999999999999,1.5,13.5
9,dinner,L,495,495000,12000.0,16500.0,75000.0,6899.999999999999,300.0,150.0,3.0,300.0,960,0.17099999999999999,1.5,13.5
9,dinner,P,495,495000,12000.0,16500.0,75000.0,6899.999999999999,300.0,150.0,3.0,300.0,960,0.17099999999999999,1.5,13.5
10,dinner,L,555,600000,15000.0,19500.0,90000.0,8400.0,360.0,375.0,2.4,390.0,1170,0.21,2.4,15.0
10,dinner,P,555,570000,16500.0,19500.0,84000.0,8100.0,360.0,375.0,2.4,420.0,1320,0.21,2.4,15.0
11,dinner,L,555,600000,15000.0,19500.0,90000.0,8400.0,360.0,375.0,2.4,390.0,1170,0.21,2.4,15.0
11,dinner,P,555,570000,16500.0,19500.0,84000.0,8100.0,360.0,375.0,2.4,420.0,1320,0.21,2.4,15.0
12,dinner,L,555,600000,15000.0,19500.0,90000.0,8400.0,360.0,375.0,2.4,390.0,1170,0.21,2.4,15.0
12,dinner,P,555,570000,16500.0,19500.0,84000.0,8100.0,360.0,375.0,2.4,420.0,1320,0.21,2.4,15.0
