no.,menu_makanan,bahan_makanan,air (ml),energi (kal),protein,lemak_total,karbohidrat,serat,kalsium,fosfor,zat_besi,natrium,kalium,tembaga,seng,vit_c,price (100 gr),rasa,meal_time,kategori_gizi
33,Gemblong,"Tepung ketan, kelapa",36.2,274,1700,5400,55500.0,2200,69,55.0,3.3,15,20.0,0.1,0.5,0.0,6000,manis,"breakfast, dinner, lunch",makronutrien tinggi
34,Gendar goreng,"Beras, kelapa",30.4,407,6400,28200,32000.0,100,216,62.0,1.6,15,20.0,0.1,0.5,0.0,7000,gurih,"breakfast, dinner, lunch",makronutrien tinggi
35,Intip goreng,Beras,6.5,474,7600,21600,62300.0,1200,36,64.0,2.5,0,38.0,0.05,0.5,0.0,7000,gurih,"breakfast, dinner, lunch",makronutrien tinggi
36,Jagung gerontol,Jagung,61.7,156,2700,1300,33300.0,1000,51,105.0,1.2,10,20.0,0.1,0.5,0.0,3500,manis,"breakfast, dinner, lunch",makronutrien tinggi
37,Jagung titi,Jagung,9.2,374,9400,2200,79100.0,800,14,142.0,2.9,10,20.0,0.1,0.5,9.0,7000,gurih,"breakfast, dinner, lunch",vitamin C tinggi
38,Japilus,Gandum,3.8,500,1200,25100,67300.0,400,186,29.0,4.9,10,20.0,0.1,0.5,0.0,9000,gurih,"breakfast, dinner, lunch",makronutrien tinggi
39,Kakicak,"Tepung beras, kelapa",43.9,296,3400,15100,36700.0,1000,20,50.0,0.5,5,30.0,0.1,0.5,0.0,7000,manis,"breakfast, dinner, lunch",makronutrien tinggi
40,Kambose,"Beras, kelapa",61.5,164,3000,2400,32600.0,4300,16,36.0,0.7,0,32.0,0.1,1.6,0.0,4000,gurih,"breakfast, dinner, lunch",makronutrien tinggi
41,Kapusa,"Beras, kelapa",63.5,158,4400,3200,27800.0,5300,79,115.0,1.2,104,149.0,0.5,1.1,0.0,4000,gurih,"breakfast, dinner, lunch",mineral tinggi
42,Keddo bodong,"Tepung beras, kelapa",33.9,290,4600,5700,55200.0,1000,20,50.0,0.5,5,30.0,0.1,0.5,0.0,7000,gurih,"breakfast, dinner, lunch",makronutrien tinggi
43,"Kelepon, kue","Tepung ketan, kelapa",49.6,215,3700,3700,41800.0,1000,232,45.0,3.3,10,20.0,0.1,0.5,0.0,6000,manis,breakfast,makronutrien tinggi
44,Kereput,Tepung terigu,3.5,580,4800,39600,51100.0,1000,20,50.0,0.5,5,30.0,0.1,0.5,0.0,9000,gurih,"breakfast, dinner, lunch",makronutrien tinggi
45,Ketoprak,"Beras, tahu, tempe",69.1,153,7900,7700,13000.0,2900,153,134.0,3.4,10,20.0,0.1,0.5,0.0,7000,gurih,"breakfast, dinner, lunch",gizi sedang/rendah
46,Ketupat kandangan,Beras,78.5,109,2200,5200,13400.0,1000,20,50.0,0.5,5,30.0,0.1,0.5,0.0,4000,gurih,"breakfast, dinner, lunch",gizi sedang/rendah
47,Koyabu,"Tepung beras, kelapa",44.2,241,3400,4300,47200.0,1000,20,50.0,0.5,5,30.0,0.1,0.5,0.0,6000,manis,"breakfast, dinner, lunch",makronutrien tinggi
48,Kue ali,"Tepung ketan, gula",12.8,440,3800,18500,64500.0,300,27,47.0,2.5,10,20.0,0.1,0.5,0.0,7000,manis,breakfast,makronutrien tinggi
49,Kue bangen,"Tepung ketan, gula",5.6,442,3300,14700,74200.0,1000,20,50.0,0.5,5,30.0,0.1,0.5,0.0,7000,manis,breakfast,makronutrien tinggi
50,Kue gelang,"Tepung ketan, gula",7.1,448,5800,16100,70000.0,1000,20,50.0,0.5,5,30.0,0.1,0.5,0.0,7000,manis,breakfast,makronutrien tinggi
